                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.62524,                0.68324,                 1.1018,                0.86837,                0.56602,                0.61351,                0.37794,                 1.1949,                0.93249,                 1.4145,              0.0095694,              0.0095694,              0.0095694
                     89,                 0.6269,                0.68378,                 1.1032,                 0.8739,                0.56506,                0.61109,                0.37535,                 1.1988,                 0.9349,                 1.4177,              0.0095644,              0.0095644,              0.0095644
                     90,                0.62523,                0.68941,                 1.1012,                0.86056,                0.56797,                0.61228,                0.37491,                 1.1994,                0.93833,                 1.4181,              0.0095595,              0.0095595,              0.0095595
                     91,                0.62628,                0.68071,                 1.1003,                0.85899,                0.57694,                0.61649,                0.37728,                 1.1997,                0.93567,                 1.4154,              0.0095545,              0.0095545,              0.0095545
                     92,                 0.6295,                 0.6818,                 1.1013,                0.86269,                0.57385,                0.61539,                0.37808,                 1.1974,                0.93128,                  1.412,              0.0095496,              0.0095496,              0.0095496
                     93,                0.62348,                0.68096,                 1.1006,                0.86279,                0.57197,                0.61141,                0.37552,                 1.1974,                0.92781,                 1.4106,              0.0095446,              0.0095446,              0.0095446
                     94,                0.62624,                0.67976,                 1.1013,                0.86525,                0.56797,                0.61115,                0.37604,                 1.1989,                0.92985,                 1.4104,              0.0095397,              0.0095397,              0.0095397
                     95,                0.62639,                0.67872,                 1.1003,                0.86289,                0.56797,                0.61157,                0.37662,                 1.1998,                0.93123,                 1.4107,              0.0095347,              0.0095347,              0.0095347
                     96,                0.62407,                0.67619,                 1.0976,                0.86476,                0.56797,                0.61213,                0.37684,                 1.2001,                0.93369,                 1.4109,              0.0095298,              0.0095298,              0.0095298
                     97,                0.62662,                0.68003,                 1.0987,                0.86021,                0.56717,                0.61307,                0.37786,                 1.2023,                0.92997,                 1.4148,              0.0095248,              0.0095248,              0.0095248
